Open,High,Low,Close,Volume
106.133,106.853,105.867,106.271,8336503.417
105.531,106.261,105.265,105.896,6805746.4504455
104.614,105.639,104.614,105.453,7697454.2516532
104.268,104.89,104.032,104.87,5043946.6123315
104.052,104.989,103.992,104.308,6107582.09757
104.456,104.466,102.996,103.538,8219947.566802
103.942,104.732,103.904,104.594,5799106.642154
103.598,104.042,102.907,103.756,9481795.3027348
102.67,104.771,102.561,104.614,6786614.091656
101.427,102.255,101.121,102.236,7174000.0106166
100.816,101.506,100.52,101.319,7393996.2890059
102.581,102.67,99.9566,100.549,13251941.39636
100.816,101.111,100.214,100.677,6121334.0822957
102.147,102.197,100.559,100.628,7819279.9897107
102.798,103.272,102.069,102.453,7421578.3083448
102.542,103.154,102.157,103.006,6017557.1273167
102.601,103.124,101.802,101.969,15048402.479974
101.575,102.729,101.319,102.473,7681795.6196754
100.411,101.525,100.184,101.259,7664134.0451298
102.207,102.305,100.342,100.51,8430942.7672549
101.941,101.979,101.082,101.773,6564907.8111857
101.753,102.483,101.457,101.969,7020924.922142
100.855,101.733,100.746,101.693,9390879.3474019
100.51,101.467,100.49,100.578,8383720.5580402
99.898,100.51,99.8385,100.292,8805272.055033
99.336,99.9566,98.5365,99.7004,5198429.6396858
98.793,100.292,98.793,99.7501,8793304.0677362
97.987,98.7338,97.5085,98.4674,7286318.8669211
96.5111,97.8981,96.1776,97.8785,7068380.2673843
95.3657,96.3809,95.2306,95.9941,7531578.9816267
94.5913,95.3163,93.8947,95.1832,9305569.8067162
96.1776,96.1875,93.8947,94.3653,11213070.539387
95.7001,96.6364,95.7001,96.5979,5157241.5990473
95.3163,96.1095,95.1082,95.5374,7783284.8006789
97.8499,98.3392,95.7485,95.786,8304798.9445117
98.2701,98.5167,97.692,97.8399,4767810.164853
97.8301,98.1537,97.0902,97.9081,6734529.4758129
97.2756,98.1715,97.1385,97.8685,5332274.0467853
98.5463,98.6055,97.471,97.5479,5699440.9903406
98.5167,99.158,98.2603,98.418,7159573.9586806
98.3688,99.0396,98.349,98.5266,6946742.0517839
97.8883,99.6607,97.7413,99.1382,10124503.690081
96.8406,98.1142,96.7439,97.8499,6036638.804361
96.9856,97.6535,96.8021,96.8307,7637949.8283218
96.3996,97.7413,96.148,97.2954,8261212.6436932
95.3361,97.3328,95.2887,97.1967,6342171.6776542
95.9843,96.3217,95.1734,95.5847,7526409.4436226
96.2743,96.9856,95.5088,96.3513,5880697.1563815
96.0139,96.811,95.4515,96.0139,6566764.7903276
96.3996,97.0349,96.3217,96.8988,5333383.9770038
97.177,97.5874,96.811,97.2658,5227320.2616843
96.4755,96.9768,96.3315,96.7923,6837862.4587044
97.3328,97.5677,96.1095,96.2161,7343589.2389267
96.1579,97.7709,95.9754,97.6338,8998163.7361227
96.8021,96.9668,96.0326,96.0819,5220892.8027658
95.3065,97.0902,95.2789,97.0734,8448936.8140486
94.5429,94.9839,94.0724,94.7165,6636108.56766
94.7462,95.9655,94.2597,95.0984,11008475.429711
95.3657,95.4614,93.6511,94.6001,17426211.562096
97.3142,98.3096,96.957,97.1967,9877035.8785567
97.2066,97.8587,97.0349,97.2362,7905156.152307
97.4513,97.6634,96.6176,97.0635,7391680.1332531
96.5012,96.9668,96.1974,96.8889,8935492.7173551
95.5847,96.3118,95.4032,96.2644,6193564.6918311
95.3657,95.6627,94.8596,95.6627,7366952.5098004
95.2207,95.6528,95.0411,95.3657,5577406.4434932
95.2887,95.6044,94.9267,95.2789,5924247.9799784
95.193,95.3745,94.832,95.2887,6392194.5601052
94.6395,95.7287,94.2401,95.5748,9300653.6774378
94.3377,94.4107,93.9323,94.3732,4702484.4362751
94.2203,94.391,93.5909,94.1779,5256412.5970282
94.3081,94.6001,93.5633,94.4107,5740047.204545
94.3377,94.7165,94.0279,94.469,6687087.3078243
94.9168,94.9168,93.9037,94.3653,7277583.3613292
94.5725,94.8408,93.876,94.7462,8275865.7498474
94.0634,94.4008,93.876,94.2795,7461171.9012813
93.5731,93.802,92.9092,93.6876,6630246.7170173
93.2831,94.2203,93.2466,93.802,7588393.2179262
92.5659,93.1893,92.2068,92.8431,7638945.2177964
93.3107,93.9135,90.2268,92.5659,12120633.617744
92.2226,93.6974,92.2226,93.3196,9028773.4829161
92.631,93.1617,92.0104,92.6211,8252228.7975501
92.7957,93.002,92.2314,92.7879,8054706.8322246
92.9279,93.142,92.1495,92.4248,9272291.1592238
92.6566,93.6787,92.631,93.2831,33829138.417161
91.9108,92.6754,91.7076,92.259,9434311.5757151
91.0465,92.4987,91.018,92.1309,10854403.938127
90.8542,91.5241,90.8068,91.0989,8343920.1835835
89.9525,90.7615,89.697,90.6707,8285909.8580988
89.9781,90.3057,89.0054,89.6053,5649920.8708014
90.1153,90.6895,89.4602,89.7345,9234759.2996795
90.0157,90.2356,89.5973,90.0817,5076401.1746479
90.062,90.7615,90.062,90.2268,6891225.26816
89.7512,90.0344,89.1218,90.0255,7572769.049535
89.7888,89.9446,89.0784,89.6339,8493036.0141279
90.062,90.3245,89.3053,89.7345,11614445.633641
90.4517,90.7171,89.9781,90.062,6604419.2996952
90.9065,91.2162,90.7181,90.8996,7814453.0603037
91.3761,91.4629,90.4428,90.6609,8166688.1481066
90.7694,91.4155,90.508,91.2794,8704268.405148
90.2356,90.9262,89.77,90.8542,8176257.8752235
90.8542,91.2498,90.0896,90.3984,9826525.4377175
89.7424,91.0535,89.6615,91.0465,11090732.915704
90.0975,90.3245,89.4602,89.6684,13254891.073927
89.8696,89.9781,89.0874,89.6526,8709239.2707111
90.4083,90.7792,90.1508,90.3639,12725627.691263
89.5796,90.4517,89.2145,90.3797,12343005.856345
88.7676,89.5885,88.7134,89.479,9328889.491289
88.3316,88.9768,88.0474,88.9669,8218462.5916694
88.7953,88.8693,87.72,88.449,9590510.68696
88.5447,89.5184,88.4312,89.1603,9548128.584406
89.2245,89.2491,88.5141,88.7222,10732530.559228
88.5141,89.4326,88.0662,89.2589,13055475.638603
87.7288,88.8791,87.4033,88.7499,13970645.03327
85.9817,88.1511,85.663,87.8403,17620801.081647
85.2348,86.1918,85.1974,86.0645,8511894.6914936
85.3996,85.6995,84.7692,85.1726,10729683.258787
84.9725,85.5624,84.6537,85.155,10725071.219979
85.9688,86.4009,84.7327,85.226,11661883.74709
85.8534,86.102,84.854,85.8622,13339766.778874
85.7547,87.7861,85.2546,86.3565,25115891.234044
82.3492,83.5409,81.1111,82.3492,14846746.911516
83.1957,83.6238,82.8957,83.241,9994740.1770996
82.5948,83.3692,82.2614,82.5317,8835207.7346161
82.876,83.2449,82.1973,82.5415,8816519.347914
82.3422,83.6593,82.3324,83.1187,8673058.5864922
82.658,83.0299,82.07,82.3422,8802713.6405385
82.8109,83.0911,82.3068,82.9017,7933223.7027643
82.1065,82.6906,81.851,82.361,12289979.573678
83.7342,83.974,82.0325,82.1607,16621888.212219
83.7432,84.0944,82.946,83.5241,10573038.148185
83.0299,83.5617,82.5682,83.2183,9976655.9167996
